,CRASH REPORT NUMBER,CRASH DATE,CRASH YEAR,MONTH,DAY OF MONTH,DAY OF WEEK,TIME OF CRASH,HOUR OF CRASH,COUNTY,CRASH LOCATION (CITY OR RURAL),REPORTING AGENCY,STREET,STREET LOCATION,PRIMARY STREET,SECONDARY STREET,CRASH SEVERITY,CRASH CLASSIFICATION,CRASH ANALYSIS,HIGHEST CONTRIBUTING FACTOR TO CRASH,NUMBER OF PEOPLE IN CRASH,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH VISIBLE INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE NOT INJURED,NUMBER OF VEHICLES INVOLVED,ALCOHOL INVOLVEMENT,DRUG INVOLVEMENT,PEDESTRIAN INVOLVEMENT,MOTORCYCLE INVOLVEMENT,PEDALCYCLE INVOLVEMENT,HEAVY TRUCK INVOLVEMENT,HAZARDOUS MATERIAL INVOLVEMENT,LIGHTING,WEATHER,HIT AND RUN CRASH,MAXIMUM VEHICLE DAMAGE,HIGHEST ENFORCEMENT ACTION,STATE HIGHWAY DEPT. PROPERTY,"ROAD SYSTEM--RURAL, URBAN, OR INTERSTATE",HIGHWAY ELEMENT,FIRST HARMFUL EVENT OCCURRED,ROAD CHARACTER,ROAD GRADE,DIRECTION OF VEHICLE WITH HIGHEST CONTRIBUTING FACTOR,DIRECTION FROM INTERSECTION,FEET FROM INTERSECTION,MILES FROM INTERSECTION,AMBULANCE NAME,UTM_X,UTM_Y,WGS_X,WGS_Y,MERGED STREETS
1910,10105814,1/17/03,2003,January,17,Friday,1640,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,YALE BLVD SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Driver Inattention,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,N,UNKNOWN OR N/A,0,0,,,,-106.6221,35.0775,"YALE BLVD SE, LEAD AVE SE"
1911,10019144,1/22/03,2003,January,22,Wednesday,1100,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,SYCAMORE ST SE,Injury Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Made Improper Turn,2,0,2,0,0,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,-106.6321,35.079,"LEAD AVE SE, SYCAMORE ST SE"
1912,10096097,1/23/03,2003,January,23,Thursday,1325,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,LOCUST ST SE,Property Damage Only Crash,Other Vehicle,Intersection - One Right Turn/Entering At Angle,Disregarded Traffic Signal,4,0,0,0,0,4,3,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,-106.638,35.0798,"LEAD AVE SE, LOCUST ST SE"
1913,10012506,1/25/03,2003,January,25,Saturday,1510,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,STANFORD DR SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - One Vehicle/Backing From Driveway Access,Improper Backing,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,CITATION,,Urban,DRIVEWAY ACCESS,On Roadway,STRAIGHT,Level,N,NORTH,100,0,,,,,,"STANFORD DR SE, LEAD AVE SE"
1914,360006,1/26/03,2003,January,26,Sunday,2200,22,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,UNIVERSITY BLVD SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,3,0,1,0,2,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,,Disabling,NONE/NOT STATED,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,W,UNKNOWN OR N/A,0,0,AMBULANCE,,,-106.6274,35.0784,"LEAD AVE SE, UNIVERSITY BLVD SE"
1915,10012922,1/28/03,2003,January,28,Tuesday,1050,10,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BUENA VISTA DR SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE/NOT STATED,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,S,UNKNOWN OR N/A,0,0,,,,-106.624,35.078,"LEAD AVE SE, BUENA VISTA DR SE"
1916,10106544,2/2/03,2003,February,2,Sunday,1629,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,MAPLE ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Passed Stop Sign,4,0,0,0,1,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Wind,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,AMBULANCE,,,-106.631,35.0788,"LEAD AVE SE, MAPLE ST SE"
1917,10002019,2/3/03,2003,February,3,Monday,944,9,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,BROADWAY BLVD SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Driver Inattention,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,N,UNKNOWN OR N/A,0,0,,,,-106.6452,35.0807,"BROADWAY BLVD SE, LEAD AVE SE"
1918,221444,2/4/03,2003,February,4,Tuesday,1433,14,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,CARLISLE BLVD SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,4,0,0,0,0,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,On Grade,S,U,9998,0,,,,-106.6045,35.0772,"CARLISLE BLVD SE, LEAD AVE SE"
1919,1001106,2/5/03,2003,February,5,Wednesday,1520,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,MESA ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Made Improper Turn,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Missing Data,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,,,"LEAD AVE SE, MESA ST SE"
1920,10105016,2/5/03,2003,February,5,Wednesday,1500,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,YALE BLVD SE,Injury Crash,Other Vehicle,Non-Intersection - One Vehicle/Stopped Traffic,Following Too Closely,4,0,0,0,1,3,3,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,CURVE,Level,W,U,9998,0,,,,-106.6221,35.0775,"LEAD AVE SE, YALE BLVD SE"
1921,10070205,2/14/03,2003,February,14,Friday,1324,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,SYCAMORE ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Improper Lane Change,4,0,0,0,0,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,On Grade,W,U,9998,0,,,,-106.6321,35.079,"LEAD AVE SE, SYCAMORE ST SE"
1922,10070377,2/16/03,2003,February,16,Sunday,1004,10,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,YALE BLVD SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,INTERSECTION,On Roadway,CURVE,Level,N,UNKNOWN OR N/A,0,0,,,,-106.6221,35.0775,"LEAD AVE SE, YALE BLVD SE"
1923,10019141,2/17/03,2003,February,17,Monday,1346,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BUENA VISTA DR SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Made Improper Turn,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,-106.624,35.078,"LEAD AVE SE, BUENA VISTA DR SE"
1924,423745,2/17/03,2003,February,17,Monday,1706,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,LOCUST ST SE,Property Damage Only Crash,Other Vehicle,Intersection - One Right Turn/Entering At Angle,Driver Inattention,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Hillcrest,E,U,9998,0,,,,-106.638,35.0798,"LEAD AVE SE, LOCUST ST SE"
1925,10106212,2/19/03,2003,February,19,Wednesday,1612,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,UNIVERSITY BLVD SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Driver Inattention,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE/NOT STATED,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,N,SOUTH,100,0,,,,-106.6274,35.0784,"UNIVERSITY BLVD SE, LEAD AVE SE"
1926,10002015,2/19/03,2003,February,19,Wednesday,810,8,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BROADWAY BLVD SE,Property Damage Only Crash,Parked Vehicle,Vehicle Parked in Improper Location,Excessive Speed,1,0,0,0,0,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,On Grade,W,WEST,75,0,,,,-106.6452,35.0807,"LEAD AVE SE, BROADWAY BLVD SE"
1927,10103272,2/20/03,2003,February,20,Thursday,1037,10,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,LOCUST ST SE,Injury Crash,Other Vehicle,Intersection - One Right Turn/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Raining,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,W,UNKNOWN OR N/A,0,0,,,,-106.638,35.0798,"LEAD AVE SE, LOCUST ST SE"
1928,10096539,2/20/03,2003,February,20,Thursday,1418,14,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SW,PAN AMERICAN WEST HY NE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,2,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Raining,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,AAS,,,,,"LEAD AVE SW, PAN AMERICAN WEST HY NE"
1929,418385,2/24/03,2003,February,24,Monday,1118,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,RICHMOND DR SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,2,0,0,0,2,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Missing Data,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,AMB,,,-106.6108,35.0773,"LEAD AVE SE, RICHMOND DR SE"
1930,10060301,2/27/03,2003,February,27,Thursday,1520,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,CARLISLE BLVD SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Passed Stop Sign,3,0,0,0,2,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,-106.6045,35.0772,"LEAD AVE SE, CARLISLE BLVD SE"
1931,10106036,2/27/03,2003,February,27,Thursday,731,7,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,CEDAR ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Improper Lane Change,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,-106.634,35.0793,"LEAD AVE SE, CEDAR ST SE"
1932,10070278,2/28/03,2003,February,28,Friday,2100,21,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,BUENA VISTA DR SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Driver Inattention,4,0,0,0,0,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,-106.624,35.078,"LEAD AVE SE, BUENA VISTA DR SE"
1933,10070382,3/1/03,2003,March,1,Saturday,1522,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,COLUMBIA DR SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,4,0,0,0,1,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,-106.617,35.0773,"COLUMBIA DR SE, LEAD AVE SE"
1934,10003632,3/4/03,2003,March,4,Tuesday,1737,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BROADWAY BLVD SE,Injury Crash,Fixed Object,Fixed Object - Median Raised Or Curb,Other Mechanical Defect,1,0,0,1,0,0,1,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Missing Data,NONE,,Urban,NON-INTERSECTION,Off Roadway,STRAIGHT,Level,W,EAST,30,0,,,,-106.6452,35.0807,"LEAD AVE SE, BROADWAY BLVD SE"
1935,10060364,3/4/03,2003,March,4,Tuesday,1150,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BUENA VISTA DR SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Driver Inattention,4,0,0,0,0,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,WARNING,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,-106.624,35.078,"LEAD AVE SE, BUENA VISTA DR SE"
1936,10019948,3/10/03,2003,March,10,Monday,922,9,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BUENA VISTA DR SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,-106.624,35.078,"LEAD AVE SE, BUENA VISTA DR SE"
1937,10070388,3/13/03,2003,March,13,Thursday,1512,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,CARLISLE BLVD SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,On Grade,N,SOUTH,20,0,,,,-106.6045,35.0772,"CARLISLE BLVD SE, LEAD AVE SE"
1938,10057348,3/15/03,2003,March,15,Saturday,1800,18,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,UNIVERSITY BLVD SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Made Improper Turn,6,0,0,0,1,5,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dusk,Clear,,Functional,BOOKED,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,W,UNKNOWN OR N/A,0,0,,,,-106.6274,35.0784,"LEAD AVE SE, UNIVERSITY BLVD SE"
1939,398311,3/19/03,2003,March,19,Wednesday,1748,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,LOCUST ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Improper Lane Change,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Raining,Yes,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,On Grade,W,U,9998,0,,,,-106.638,35.0798,"LEAD AVE SE, LOCUST ST SE"
1940,10012937,3/19/03,2003,March,19,Wednesday,1735,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,LOCUST ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Improper Lane Change,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dusk,Raining,Yes,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Hillcrest,W,EAST,50,0,,,,-106.638,35.0798,"LEAD AVE SE, LOCUST ST SE"
1941,10011076,3/20/03,2003,March,20,Thursday,750,7,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,VASSAR DR SE,LEAD AVE SE,Property Damage Only Crash,Parked Vehicle,Vehicle Parked in Proper Location,Driver Inattention,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Not Lighted,Raining,Yes,Disabling,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,N,SOUTH,100,0,,,,-106.6146,35.0773,"VASSAR DR SE, LEAD AVE SE"
1942,10096115,3/20/03,2003,March,20,Thursday,1723,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BROADWAY BLVD SE,Injury Crash,Other Vehicle,Non-Intersection - One Vehicle/Stopped Traffic,Driver Inattention,5,0,0,0,3,2,4,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Raining,,Disabling,CITATION,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Hillcrest,W,U,9998,0,,,,-106.6452,35.0807,"LEAD AVE SE, BROADWAY BLVD SE"
1943,424504,3/20/03,2003,March,20,Thursday,1219,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,SPRUCE ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Improper Lane Change,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,-106.633,35.0791,"LEAD AVE SE, SPRUCE ST SE"
1944,10003711,3/21/03,2003,March,21,Friday,2300,23,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BROADWAY BLVD SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,5,0,0,0,1,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,Yes,Disabling,NONE/NOT STATED,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,-106.6452,35.0807,"LEAD AVE SE, BROADWAY BLVD SE"
1945,101402583,3/23/03,2003,March,23,Sunday,1635,16,BERNALILLO,ALBUQUERQUE,COUNTY SHERIFF,LEAD,SECONDARY,OAK ST NE,LEAD,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Following Too Closely,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,N,U,9998,0,,,,,,"OAK ST NE, LEAD"
1946,10106247,3/24/03,2003,March,24,Monday,1126,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE,UNIVERSITY BLVD,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,4,0,0,0,0,4,3,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,,,"LEAD AVE, UNIVERSITY BLVD"
1947,10105847,3/26/03,2003,March,26,Wednesday,1542,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,MAPLE ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Driver Inattention,4,0,0,0,2,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,N,UNKNOWN OR N/A,0,0,,,,-106.631,35.0788,"LEAD AVE SE, MAPLE ST SE"
1948,10107304,3/30/03,2003,March,30,Sunday,1213,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,SYCAMORE ST SE,Injury Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Made Improper Turn,4,0,0,0,1,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,-106.6321,35.079,"LEAD AVE SE, SYCAMORE ST SE"
1949,10086051,4/2/03,2003,April,2,Wednesday,1300,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,OAK ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,1,1,0,0,2,Not Involved,,Not Involved,Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE/NOT STATED,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,AMBULANCE,,,-106.6368,35.0796,"LEAD AVE SE, OAK ST SE"
1950,10019315,4/3/03,2003,April,3,Thursday,900,9,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,SECONDARY,COLUMBIA DR SE,LEAD AVE SE,Property Damage Only Crash,Parked Vehicle,Vehicle Parked in Proper Location,Driver Inattention,1,0,0,0,0,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,N,U,9998,0,,,,-106.617,35.0773,"COLUMBIA DR SE, LEAD AVE SE"
1951,10019325,4/4/03,2003,April,4,Friday,1700,17,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,SECONDARY,YALE BLVD SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - One Vehicle/Leave Driveway Access,Driver Inattention,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,DRIVEWAY ACCESS,On Roadway,STRAIGHT,Level,N,U,9998,0,,,,-106.6221,35.0775,"YALE BLVD SE, LEAD AVE SE"
1952,10071564,4/4/03,2003,April,4,Friday,1900,19,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,SECONDARY,YALE BLVD SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Improper Overtaking,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dusk,Clear,,Functional,NONE/NOT STATED,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,S,U,9998,0,,,,-106.6221,35.0775,"YALE BLVD SE, LEAD AVE SE"
